סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
806 ,עין יהב ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,963 ,48 ,236 ,309 ,156 ,95 ,119
807 ,חניאל ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,925 ,59 ,183 ,302 ,105 ,116 ,160
808 ,ניר אליהו ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,680 ,32 ,166 ,171 ,126 ,40 ,145
809 ,נחם ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,638 ,67 ,139 ,222 ,60 ,50 ,100
810 ,עופר ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,585 ,47 ,130 ,201 ,61 ,61 ,85
811 ,יכיני ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,800 ,75 ,172 ,280 ,96 ,73 ,104
812 ,שלומי ,24 ,עכו ,24 ,עכו ,0 , ,8596 ,603 ,1654 ,3140 ,1256 ,830 ,1113
813 ,עין יעקב ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,1255 ,120 ,311 ,449 ,139 ,115 ,121
814 ,תלמים ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,875 ,88 ,211 ,305 ,75 ,70 ,126
815 ,זבדיאל ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,793 ,93 ,225 ,270 ,57 ,60 ,88
816 ,זנוח ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,533 ,45 ,95 ,191 ,57 ,66 ,79
817 ,עזריקם ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1442 ,128 ,336 ,524 ,141 ,135 ,178
818 ,זרחיה ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,801 ,81 ,197 ,298 ,84 ,63 ,78
819 ,אביגדור ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,912 ,74 ,215 ,271 ,121 ,74 ,157
820 ,חלץ ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,569 ,46 ,123 ,173 ,74 ,64 ,89
821 ,אחוזם ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,546 ,45 ,87 ,209 ,59 ,64 ,82
822 ,מטע ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,873 ,69 ,211 ,300 ,94 ,93 ,106
823 ,בר גיורא ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,733 ,105 ,158 ,258 ,59 ,48 ,105
824 ,כוכב מיכאל ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,1197 ,78 ,321 ,344 ,200 ,81 ,173
825 ,נס הרים ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1418 ,82 ,428 ,470 ,230 ,90 ,118
826 ,עוזה ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,413 ,38 ,68 ,114 ,39 ,73 ,81
827 ,נווה מבטח ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,677 ,49 ,145 ,222 ,106 ,43 ,112
828 ,ישרש ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1075 ,112 ,234 ,357 ,126 ,107 ,139
829 ,מבטחים ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,575 ,57 ,104 ,194 ,43 ,66 ,111
831 ,ירוחם ,62 ,באר שבע ,62 ,באר שבע ,0 , ,12685 ,1355 ,3086 ,4542 ,1245 ,1016 ,1441
833 ,נורית ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,310 ,21 ,103 ,97 ,61 ,14 ,14
836 ,גנות ,43 ,רמלה ,43 ,רמלה ,40 ,שדות דן ,507 ,47 ,101 ,158 ,69 ,41 ,91
837 ,עזריאל ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,961 ,76 ,239 ,311 ,147 ,71 ,117
838 ,פדיה ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,800 ,53 ,159 ,288 ,93 ,87 ,120
839 ,פתחיה ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,903 ,90 ,183 ,314 ,83 ,101 ,132
840 ,כיסופים ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,409 ,23 ,76 ,119 ,45 ,50 ,96
841 ,אלישמע ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1133 ,84 ,228 ,379 ,140 ,124 ,178
842 ,געש ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1092 ,103 ,232 ,320 ,137 ,88 ,212
843 ,מרגליות ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,469 ,35 ,51 ,214 ,44 ,56 ,69
844 ,נחל עוז ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,562 ,49 ,118 ,200 ,77 ,33 ,85
845 ,כפר עזה ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,1065 ,98 ,169 ,447 ,98 ,83 ,170
846 ,שפר ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,520 ,48 ,139 ,155 ,52 ,50 ,76
848 ,בית רבן ,44 ,רחובות ,44 ,רחובות ,29 ,חבל יבנה ,495 ,143 ,79 ,252 ,11 ,8 ,2
849 ,דביר ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,1217 ,83 ,375 ,363 ,203 ,78 ,115
850 ,אחיטוב ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1044 ,84 ,188 ,365 ,148 ,99 ,160
851 ,ניצני עוז ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1101 ,83 ,247 ,372 ,150 ,123 ,126
852 ,גונן ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,497 ,16 ,110 ,130 ,84 ,45 ,112
853 ,גאליה ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,1137 ,79 ,219 ,369 ,162 ,112 ,196
854 ,רחוב ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,521 ,55 ,96 ,195 ,59 ,44 ,72
856 ,שעלבים ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1532 ,155 ,519 ,533 ,192 ,69 ,64
857 ,כפר אביב ,44 ,רחובות ,44 ,רחובות ,32 ,גדרות ,810 ,60 ,191 ,243 ,124 ,70 ,122
858 ,נווה ירק ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,1236 ,74 ,284 ,397 ,195 ,112 ,174
859 ,כסלון ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,439 ,51 ,95 ,151 ,54 ,31 ,57
861 ,שדה אליעזר ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,1012 ,77 ,254 ,318 ,133 ,111 ,119
862 ,גני יוחנן ,44 ,רחובות ,44 ,רחובות ,30 ,גזר ,693 ,39 ,137 ,206 ,96 ,79 ,136
863 ,גינתון ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,953 ,83 ,204 ,294 ,147 ,83 ,142
864 ,בקוע ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,932 ,88 ,240 ,296 ,116 ,78 ,114
865 ,שיבולים ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,430 ,27 ,95 ,149 ,60 ,37 ,62
866 ,יטבתה ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,986 ,48 ,185 ,326 ,140 ,112 ,175
868 ,אלוני יצחק ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,177 ,4 ,19 ,61 ,13 ,14 ,66
870 ,גבעת השלושה ,42 ,פתח תקווה ,349 ,ראש העין ,20 ,דרום השרון ,781 ,63 ,159 ,244 ,110 ,68 ,137
871 ,עינת ,42 ,פתח תקווה ,349 ,ראש העין ,20 ,דרום השרון ,947 ,45 ,259 ,244 ,180 ,92 ,127
872 ,גאולי תימן ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,409 ,28 ,103 ,116 ,52 ,30 ,80
873 ,שלווה ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,679 ,90 ,145 ,248 ,67 ,52 ,77
874 ,מגדל העמק ,23 ,עפולה ,23 ,עפולה ,0 , ,31845 ,2635 ,6161 ,10557 ,3682 ,2924 ,5886
877 ,בית חירות ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,941 ,59 ,229 ,279 ,133 ,87 ,154
880 ,עין שריד ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1573 ,117 ,331 ,547 ,182 ,173 ,223
882 ,אורנים ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,7 ,0 ,0 ,4 ,1 ,0 ,2
885 ,שדה בוקר ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,618 ,40 ,127 ,197 ,71 ,48 ,135
886 ,איתנים ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,3 ,0 ,0 ,0 ,0 ,0 ,3
888 ,כפר הרי"ף ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,889 ,58 ,211 ,286 ,128 ,89 ,117
889 ,כפר חסידים ב' ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,271 ,20 ,59 ,85 ,31 ,12 ,64
890 ,כפר הנוער הדתי ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,70 ,12 ,10 ,22 ,2 ,4 ,20
892 ,עבדון ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,750 ,55 ,163 ,267 ,90 ,76 ,99
897 ,מדרשת רופין ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,9 ,0 ,0 ,6 ,1 ,1 ,1
913 ,שבלי - אום אל-גנם ,23 ,עפולה ,23 ,עפולה ,0 , ,7037 ,602 ,1740 ,2822 ,830 ,537 ,506
916 ,ישע ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,459 ,33 ,99 ,140 ,75 ,42 ,70
917 ,עצמון שגב ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1459 ,85 ,349 ,483 ,208 ,164 ,170
919 ,גבעת ישעיהו ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,745 ,61 ,160 ,244 ,92 ,84 ,104
921 ,שער מנשה ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,111 ,0 ,0 ,10 ,19 ,27 ,55
922 ,רכסים ,31 ,חיפה ,27 ,קריות ,0 , ,15193 ,2842 ,5008 ,5041 ,857 ,608 ,837
926 ,נווה אבות ,32 ,חדרה ,32 ,חדרה ,0 , ,16 ,0 ,0 ,0 ,0 ,1 ,15
932 ,אבו עמרה )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,20 ,3 ,3 ,1 ,3 ,7 ,3
935 ,אבו סריחאן )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,29 ,2 ,3 ,8 ,9 ,3 ,4
939 ,מסעודין אל-עזאזמה ,62 ,באר שבע ,62 ,באר שבע ,0 , ,20946 ,3953 ,7336 ,7339 ,1202 ,542 ,574
942 ,סואעד )חמרייה( ,24 ,עכו ,24 ,עכו ,9 ,עמק יזרעאל ,288 ,31 ,56 ,112 ,31 ,24 ,34
944 ,בסמת טבעון ,23 ,עפולה ,23 ,עפולה ,0 , ,8483 ,800 ,1833 ,3532 ,986 ,704 ,628
948 ,חוג'ייראת )ד'הרה( ,24 ,עכו ,24 ,עכו ,56 ,משגב ,27 ,0 ,4 ,5 ,3 ,2 ,13
956 ,הוזייל )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,1701 ,309 ,489 ,544 ,114 ,128 ,117
957 ,עוקבי )בנו עוקבה( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,671 ,116 ,194 ,268 ,39 ,35 ,19
958 ,אבו עבדון )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,299 ,59 ,93 ,102 ,19 ,12 ,14
959 ,אפיניש )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,116 ,20 ,28 ,39 ,12 ,11 ,6
960 ,אסד )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,1210 ,261 ,456 ,387 ,44 ,34 ,28
961 ,אבו רוקייק )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,11575 ,2090 ,3878 ,4233 ,665 ,368 ,341
962 ,טובא-זנגריה ,21 ,צפת ,21 ,צפת ,0 , ,7389 ,703 ,1697 ,3157 ,865 ,532 ,435
963 ,אעצם )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,12783 ,2593 ,4479 ,4476 ,650 ,328 ,257
964 ,קודייראת א-צאנע)שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,2667 ,0 ,1070 ,1210 ,206 ,87 ,94
965 ,אטרש )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,3490 ,0 ,1545 ,1580 ,200 ,90 ,75
966 ,אבו רובייעה )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,10142 ,1995 ,3446 ,3558 ,560 ,294 ,289
967 ,אבו ג'ווייעד )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,5472 ,1139 ,1926 ,1812 ,305 ,133 ,157
968 ,אבו קורינאת )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,7665 ,1534 ,2615 ,2646 ,443 ,212 ,215
969 ,עטאוונה )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,154 ,0 ,40 ,65 ,14 ,11 ,24
970 ,תראבין א-צאנע )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,1123 ,0 ,510 ,488 ,67 ,25 ,33
972 ,קוואעין )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,1107 ,0 ,531 ,498 ,37 ,22 ,19
975 ,זרזיר ,23 ,עפולה ,23 ,עפולה ,0 , ,9361 ,912 ,2413 ,3921 ,989 ,618 ,508
976 ,ג'נאביב )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,1698 ,361 ,567 ,568 ,109 ,46 ,47
978 ,כעביה-טבאש-חג'אג'רה ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,6596 ,707 ,1638 ,2770 ,665 ,440 ,376
986 ,ח'ואלד )שבט( ,25 ,נצרת ,31 ,חיפה ,12 ,זבולון ,92 ,15 ,22 ,31 ,6 ,11 ,7
989 ,סואעד )כמאנה( )שבט( ,24 ,עכו ,20 ,כרמיאל ,0 , ,31 ,0 ,3 ,9 ,7 ,9 ,3
990 ,ראס עלי ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,762 ,84 ,198 ,325 ,77 ,50 ,28
993 ,חמאם ,22 ,כנרת ,22 ,טבריה ,65 ,אל-בטוף ,1766 ,160 ,370 ,753 ,205 ,146 ,132
994 ,מנשית זבדה ,25 ,נצרת ,23 ,עפולה ,9 ,עמק יזרעאל ,1656 ,225 ,438 ,656 ,150 ,114 ,73
997 ,רומת הייב ,25 ,נצרת ,25 ,נוף הגליל ,65 ,אל-בטוף ,2451 ,287 ,607 ,1011 ,234 ,155 ,157
998 ,ביר אל-מכסור ,24 ,עכו ,25 ,נוף הגליל ,0 , ,11217 ,1079 ,2745 ,4720 ,1148 ,803 ,722
1015 ,מבשרת ציון ,11 ,ירושלים ,11 ,ירושלים ,0 , ,29037 ,2440 ,5371 ,9509 ,3271 ,2772 ,5674
1020 ,אור עקיבא ,32 ,חדרה ,32 ,חדרה ,0 , ,27489 ,2597 ,5091 ,9545 ,3024 ,2503 ,4729
1024 ,חרוצים ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,848 ,51 ,172 ,271 ,115 ,95 ,144
1031 ,שדרות ,61 ,אשקלון ,61 ,אשקלון ,0 , ,39288 ,4804 ,7875 ,15712 ,3653 ,2959 ,4285
1034 ,קרית מלאכי ,61 ,אשקלון ,61 ,אשקלון ,0 , ,29436 ,3597 ,7085 ,10722 ,2401 ,1987 ,3644
1041 ,נצאצרה )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,429 ,0 ,156 ,169 ,57 ,28 ,19
1042 ,אבו עמאר )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,103 ,13 ,22 ,44 ,12 ,7 ,5
1043 ,גיזו ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,221 ,15 ,54 ,67 ,31 ,33 ,21
1044 ,יעף ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,272 ,13 ,73 ,75 ,60 ,26 ,25
1045 ,שתולה ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,358 ,40 ,77 ,126 ,38 ,31 ,46
1046 ,אוהד ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,419 ,12 ,108 ,127 ,91 ,27 ,54
1047 ,חזון ,22 ,כנרת ,22 ,טבריה ,2 ,מרום הגליל ,390 ,37 ,92 ,113 ,38 ,16 ,94
1050 ,בית חשמונאי ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,2335 ,108 ,624 ,744 ,448 ,212 ,199
1051 ,תלמי אליהו ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,315 ,16 ,72 ,97 ,50 ,18 ,62
1052 ,קטורה ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,655 ,41 ,104 ,227 ,68 ,52 ,163
1053 ,עין חצבה ,62 ,באר שבע ,63 ,אילת ,51 ,תמר ,59 ,12 ,10 ,18 ,7 ,5 ,7
1054 ,תל שבע ,62 ,באר שבע ,62 ,באר שבע ,0 , ,24177 ,4309 ,7972 ,9183 ,1442 ,707 ,564
1056 ,עין כרם-בי"ס חקלאי ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,22 ,0 ,5 ,9 ,4 ,2 ,2
1057 ,נווה זוהר ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר ,67 ,4 ,4 ,17 ,7 ,10 ,25
1058 ,שדה ניצן ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,567 ,27 ,103 ,147 ,120 ,47 ,123
1059 ,כסיפה ,62 ,באר שבע ,62 ,באר שבע ,0 , ,22107 ,3955 ,7221 ,8323 ,1363 ,698 ,547
1060 ,לקיה ,62 ,באר שבע ,62 ,באר שבע ,0 , ,19214 ,3435 ,5993 ,7216 ,1358 ,677 ,535
1061 ,נוף הגליל ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,55968 ,4445 ,9326 ,18488 ,6711 ,5333 ,11665
1063 ,מעלות-תרשיחא ,24 ,עכו ,24 ,עכו ,0 , ,26046 ,1757 ,4783 ,8866 ,3278 ,2633 ,4729
1064 ,אמירים ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,913 ,72 ,191 ,286 ,162 ,74 ,128
1065 ,זמרת ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,780 ,105 ,246 ,247 ,78 ,44 ,60
1066 ,בני עי"ש ,44 ,רחובות ,44 ,רחובות ,0 , ,7241 ,496 ,1138 ,2296 ,814 ,818 ,1679
1067 ,דוב"ב ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,527 ,47 ,102 ,198 ,57 ,49 ,74
1068 ,אדמית ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,548 ,34 ,106 ,159 ,85 ,59 ,105
1069 ,רם-און ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,970 ,35 ,224 ,300 ,171 ,134 ,106
1070 ,אביעזר ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,937 ,64 ,230 ,288 ,144 ,112 ,99
1071 ,נווה מיכאל ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,840 ,86 ,236 ,295 ,84 ,48 ,91
1072 ,גן הדרום ,44 ,רחובות ,44 ,רחובות ,32 ,גדרות ,532 ,27 ,151 ,153 ,85 ,37 ,79
1076 ,בית ברל ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,58 ,5 ,7 ,19 ,10 ,4 ,13
1077 ,גבעת שפירא ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,332 ,16 ,72 ,102 ,57 ,44 ,41
1079 ,צפרירים ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,448 ,37 ,88 ,153 ,62 ,45 ,63
1080 ,מבועים ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,1273 ,112 ,259 ,481 ,128 ,170 ,123
1081 ,אבן מנחם ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,418 ,42 ,79 ,141 ,44 ,49 ,63
1082 ,מעגלים ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,1522 ,139 ,287 ,628 ,141 ,190 ,137
1083 ,תושיה ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,618 ,61 ,160 ,257 ,69 ,34 ,37
1084 ,בן שמן )כפר נוער( ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,250 ,19 ,57 ,74 ,24 ,22 ,54
1085 ,כרם שלום ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,290 ,41 ,67 ,113 ,28 ,22 ,19
1094 ,כרם ביבנה )ישיבה( ,44 ,רחובות ,44 ,רחובות ,29 ,חבל יבנה ,284 ,74 ,58 ,132 ,11 ,2 ,7
1095 ,כפר מימון ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,840 ,100 ,210 ,319 ,86 ,50 ,75
1098 ,מרכז שפירא ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,3256 ,476 ,963 ,1073 ,222 ,215 ,307
1102 ,צוקי ים ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,278 ,17 ,54 ,80 ,50 ,18 ,59
1103 ,גני הדר ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,413 ,25 ,93 ,135 ,53 ,42 ,65
1104 ,פוריה - כפר עבודה ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,422 ,42 ,75 ,163 ,40 ,41 ,61
1105 ,פוריה - נווה עובד ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,1690 ,182 ,371 ,616 ,168 ,114 ,239
1108 ,אומן ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,915 ,96 ,218 ,339 ,102 ,73 ,87
1110 ,חבר ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1034 ,108 ,287 ,404 ,112 ,71 ,52
1112 ,יודפת ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1070 ,74 ,301 ,370 ,159 ,68 ,98
1113 ,צור הדסה ,11 ,ירושלים ,13 ,בית שמש ,0 , ,11011 ,987 ,3207 ,3715 ,1339 ,805 ,958
1114 ,שריגים )לי-און( ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1127 ,68 ,235 ,384 ,136 ,177 ,127
1115 ,אביבים ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,565 ,61 ,121 ,206 ,77 ,39 ,61
1117 ,יעל ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,29 ,3 ,4 ,12 ,1 ,7 ,2
1123 ,אדרת ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,952 ,66 ,240 ,337 ,148 ,94 ,67
1124 ,נאות הכיכר ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר ,315 ,21 ,63 ,93 ,42 ,29 ,67
1125 ,אלמגור ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,471 ,31 ,115 ,130 ,75 ,28 ,92
1126 ,אילות ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,409 ,24 ,95 ,138 ,53 ,22 ,77
1127 ,מעלה גלבוע ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,891 ,85 ,362 ,277 ,89 ,24 ,54
1128 ,מי עמי ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,433 ,26 ,122 ,120 ,64 ,33 ,68
1129 ,גרופית ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,402 ,21 ,76 ,127 ,53 ,37 ,88
1130 ,כפר רוזנואלד )זרעית( ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,312 ,24 ,42 ,111 ,48 ,33 ,54
1132 ,שניר ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,775 ,58 ,164 ,278 ,106 ,72 ,97
1133 ,ורדון ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,305 ,32 ,66 ,118 ,22 ,35 ,32
1134 ,יד השמונה ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,315 ,30 ,77 ,107 ,41 ,19 ,41
1136 ,צוחר ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,605 ,55 ,80 ,258 ,71 ,60 ,81
1137 ,קרית יערים ,11 ,ירושלים ,13 ,בית שמש ,0 , ,7846 ,1434 ,2551 ,2734 ,384 ,301 ,442
1138 ,יעד ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,923 ,61 ,210 ,301 ,131 ,108 ,112
1139 ,כרמיאל ,24 ,עכו ,20 ,כרמיאל ,0 , ,55486 ,3175 ,9063 ,17631 ,7361 ,5358 ,12898
1140 ,מדרשת בן גוריון ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,1888 ,99 ,476 ,616 ,331 ,164 ,202
1141 ,מבוא מודיעים ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,223 ,20 ,38 ,81 ,26 ,8 ,50
1143 ,נס עמים ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,475 ,29 ,166 ,139 ,104 ,11 ,26
1145 ,אלומה ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,1623 ,303 ,632 ,520 ,60 ,55 ,53
1146 ,עלומים ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,549 ,61 ,133 ,189 ,46 ,33 ,87
1147 ,נטועה ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,373 ,28 ,82 ,127 ,37 ,38 ,61
1148 ,צור נתן ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,319 ,10 ,59 ,88 ,75 ,12 ,75
1149 ,עזר ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,741 ,41 ,127 ,259 ,77 ,127 ,110
1150 ,צופר ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,561 ,48 ,121 ,220 ,30 ,58 ,84
1151 ,פארן ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,646 ,51 ,165 ,210 ,63 ,58 ,99
1152 ,אשלים ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,743 ,61 ,214 ,254 ,93 ,46 ,75
1153 ,כישור ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,148 ,2 ,2 ,37 ,47 ,30 ,30
1154 ,מיטל ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,88 ,21 ,32 ,32 ,1 ,2 ,0
1155 ,מגן שאול ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,827 ,66 ,257 ,251 ,113 ,35 ,105
1156 ,סמר ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,291 ,15 ,34 ,122 ,33 ,47 ,40
