סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
623 ,יראון ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,489 ,29 ,79 ,167 ,68 ,37 ,109
627 ,ג'לג'וליה ,42 ,פתח תקווה ,47 ,כפר סבא ,0 , ,11499 ,1176 ,2781 ,4803 ,1223 ,783 ,733
628 ,ג'ת ,32 ,חדרה ,32 ,חדרה ,0 , ,13543 ,1324 ,3024 ,5622 ,1366 ,1087 ,1120
633 ,כפר ברא ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,4444 ,561 ,1090 ,1905 ,410 ,273 ,205
634 ,כפר קאסם ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,27252 ,2945 ,6575 ,11554 ,2806 ,1875 ,1497
635 ,מוקייבלה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,4713 ,579 ,1160 ,1962 ,485 ,290 ,237
636 ,צנדלה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,2021 ,185 ,441 ,837 ,194 ,166 ,198
637 ,ערערה ,32 ,חדרה ,32 ,חדרה ,0 , ,21968 ,2057 ,4911 ,8943 ,2594 ,1747 ,1716
638 ,קלנסווה ,41 ,השרון ,41 ,נתניה ,0 , ,25320 ,2605 ,6242 ,10697 ,2567 ,1719 ,1490
648 ,מצר ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,576 ,42 ,87 ,171 ,70 ,58 ,148
649 ,מייסר ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,2197 ,199 ,519 ,888 ,268 ,166 ,157
652 ,אבטין ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,3036 ,301 ,720 ,1263 ,310 ,230 ,212
654 ,כפר קרע ,32 ,חדרה ,32 ,חדרה ,0 , ,21608 ,2154 ,4832 ,8940 ,2353 ,1684 ,1645
658 ,שייח' דנון ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,3177 ,295 ,672 ,1382 ,367 ,236 ,225
661 ,שער אפרים ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,2001 ,107 ,495 ,655 ,333 ,221 ,190
662 ,חוסן ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,1263 ,102 ,318 ,433 ,171 ,112 ,127
663 ,טירת יהודה ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,1250 ,119 ,286 ,426 ,172 ,96 ,151
664 ,כרם בן זמרה ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,675 ,71 ,165 ,240 ,61 ,57 ,81
665 ,תקומה ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,859 ,81 ,250 ,298 ,100 ,32 ,98
666 ,עומר ,62 ,באר שבע ,62 ,באר שבע ,0 , ,9062 ,414 ,1926 ,2605 ,1353 ,811 ,1953
667 ,ברעם ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,767 ,51 ,127 ,257 ,102 ,71 ,159
668 ,מפלסים ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,1006 ,70 ,151 ,415 ,91 ,106 ,173
670 ,משמר איילון ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,598 ,47 ,159 ,182 ,83 ,37 ,90
672 ,בית נקופה ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,688 ,57 ,152 ,225 ,68 ,68 ,118
673 ,כפר טרומן ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,845 ,66 ,178 ,273 ,106 ,95 ,127
674 ,לימן ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,907 ,71 ,171 ,333 ,125 ,87 ,120
675 ,הבונים ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,548 ,39 ,141 ,154 ,70 ,39 ,105
676 ,עין השלושה ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,393 ,30 ,59 ,129 ,41 ,41 ,93
677 ,הסוללים ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1077 ,90 ,209 ,347 ,126 ,128 ,177
678 ,מעגן ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,475 ,45 ,88 ,168 ,48 ,33 ,93
679 ,אביאל ,32 ,חדרה ,32 ,חדרה ,45 ,אלונה ,843 ,50 ,239 ,262 ,144 ,62 ,86
680 ,אומץ ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,798 ,43 ,200 ,252 ,122 ,83 ,98
681 ,גבעת שמואל ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,31896 ,3069 ,7260 ,11103 ,3715 ,2165 ,4584
682 ,אליקים ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,921 ,89 ,198 ,322 ,82 ,72 ,158
683 ,גבע כרמל ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,1077 ,78 ,253 ,354 ,154 ,92 ,146
684 ,היוגב ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1051 ,105 ,289 ,334 ,108 ,40 ,175
